filename,recommender,strategy,config,n_factors,learning_rate,hidden_dims,regularization,epochs,batch_size,precision,recall,ndcg,epc,gini,aggregate_diversity
mlp_5_exclude_seen_f256_lr0p01_hd256-128-64_reg0p1_ep150_bs4096.csv,mlp,exclude_seen,f256_lr0.01_hd256-128-64_reg0.1_ep150_bs4096,256,0.01,"(256, 128, 64)",0.1,150,4096,0.0910675381263616,0.0111725076199563,0.0901583439321467,0.8851586162920452,0.6874030962993756,0.1233115468409586
mlp_5_exclude_seen_f256_lr0p01_hd256-128-64_reg0p1_ep200_bs2048.csv,mlp,exclude_seen,f256_lr0.01_hd256-128-64_reg0.1_ep200_bs2048,256,0.01,"(256, 128, 64)",0.1,200,2048,0.0906318082788671,0.0097414989323573,0.0897054986470304,0.8828750776851333,0.7376183358246138,0.0971677559912854
mlp_5_exclude_seen_f512_lr0p005_hd512-256_reg0p01_ep200_bs2048.csv,mlp,exclude_seen,f512_lr0.005_hd512-256_reg0.01_ep200_bs2048,512,0.005,"(512, 256)",0.01,200,2048,0.090631808278867,0.0109107291402047,0.0910455603586843,0.8898841827292954,0.6762433527771923,0.1215686274509803
mlp_5_exclude_seen_f256_lr0p005_hd256-128-64_reg0p1_ep200_bs2048.csv,mlp,exclude_seen,f256_lr0.005_hd256-128-64_reg0.1_ep200_bs2048,256,0.005,"(256, 128, 64)",0.1,200,2048,0.089760348583878,0.0086754479259684,0.0947211341687338,0.8680436284328742,0.6499930836532144,0.1098039215686274
mlp_5_exclude_seen_f512_lr0p005_hd256-128-64_reg0p1_ep150_bs4096.csv,mlp,exclude_seen,f512_lr0.005_hd256-128-64_reg0.1_ep150_bs4096,512,0.005,"(256, 128, 64)",0.1,150,4096,0.0880174291938997,0.0090074786381036,0.0832036471764281,0.8989873786205894,0.6985418553605378,0.1163398692810457
mlp_5_exclude_seen_f256_lr0p005_hd256-128-64_reg0p01_ep150_bs2048.csv,mlp,exclude_seen,f256_lr0.005_hd256-128-64_reg0.01_ep150_bs2048,256,0.005,"(256, 128, 64)",0.01,150,2048,0.0871459694989106,0.0093273250686286,0.0898398483169453,0.8806520699478095,0.6671888897048623,0.1163398692810457
mlp_5_exclude_seen_f512_lr0p005_hd256-128-64_reg0p01_ep150_bs2048.csv,mlp,exclude_seen,f512_lr0.005_hd256-128-64_reg0.01_ep150_bs2048,512,0.005,"(256, 128, 64)",0.01,150,2048,0.085838779956427,0.009549634449608,0.0844197840401424,0.8834609795373316,0.633994519216901,0.1250544662309368
mlp_5_exclude_seen_f256_lr0p01_hd256-128-64_reg0p01_ep200_bs2048.csv,mlp,exclude_seen,f256_lr0.01_hd256-128-64_reg0.01_ep200_bs2048,256,0.01,"(256, 128, 64)",0.01,200,2048,0.085838779956427,0.0084969252495407,0.0882634900217346,0.8907958423147744,0.6891636871550788,0.1250544662309368
mlp_5_exclude_seen_f512_lr0p005_hd512-256_reg0p01_ep150_bs4096.csv,mlp,exclude_seen,f512_lr0.005_hd512-256_reg0.01_ep150_bs4096,512,0.005,"(512, 256)",0.01,150,4096,0.0840958605664488,0.0087117477096524,0.0824691037605194,0.8969755358252645,0.6249223640073314,0.1372549019607843
mlp_5_exclude_seen_f512_lr0p01_hd512-256_reg0p01_ep200_bs2048.csv,mlp,exclude_seen,f512_lr0.01_hd512-256_reg0.01_ep200_bs2048,512,0.01,"(512, 256)",0.01,200,2048,0.0840958605664487,0.0092214930171005,0.0834508185711868,0.885893766013534,0.675600525110329,0.1359477124183006
mlp_5_exclude_seen_f512_lr0p005_hd256-128-64_reg0p01_ep200_bs2048.csv,mlp,exclude_seen,f512_lr0.005_hd256-128-64_reg0.01_ep200_bs2048,512,0.005,"(256, 128, 64)",0.01,200,2048,0.0823529411764706,0.0093865066914764,0.0787924745105834,0.9059137735452376,0.6564785105961577,0.1198257080610021
mlp_5_exclude_seen_f256_lr0p005_hd512-256_reg0p01_ep150_bs2048.csv,mlp,exclude_seen,f256_lr0.005_hd512-256_reg0.01_ep150_bs2048,256,0.005,"(512, 256)",0.01,150,2048,0.0814814814814814,0.0090151908920508,0.0809029292689561,0.8953222575704018,0.6303549179700281,0.1363834422657952
mlp_5_exclude_seen_f256_lr0p005_hd256-128-64_reg0p01_ep200_bs4096.csv,mlp,exclude_seen,f256_lr0.005_hd256-128-64_reg0.01_ep200_bs4096,256,0.005,"(256, 128, 64)",0.01,200,4096,0.0810457516339869,0.0092293925043218,0.0783637453900705,0.8987669723244546,0.6852887331527457,0.1145969498910675
mlp_5_exclude_seen_f256_lr0p005_hd256-128-64_reg0p01_ep200_bs2048.csv,mlp,exclude_seen,f256_lr0.005_hd256-128-64_reg0.01_ep200_bs2048,256,0.005,"(256, 128, 64)",0.01,200,2048,0.0810457516339869,0.0083911219307859,0.0834563054299783,0.8911396206886196,0.6546420253925327,0.1263616557734204
mlp_5_exclude_seen_f512_lr0p01_hd256-128-64_reg0p1_ep200_bs4096.csv,mlp,exclude_seen,f512_lr0.01_hd256-128-64_reg0.1_ep200_bs4096,512,0.01,"(256, 128, 64)",0.1,200,4096,0.0801742919389978,0.0090732051857292,0.0751950977270296,0.9044342327481248,0.7014748469117871,0.1058823529411764
mlp_5_exclude_seen_f512_lr0p005_hd256-128-64_reg0p1_ep150_bs2048.csv,mlp,exclude_seen,f512_lr0.005_hd256-128-64_reg0.1_ep150_bs2048,512,0.005,"(256, 128, 64)",0.1,150,2048,0.0784313725490196,0.0086049833028603,0.0755860128625052,0.8941310470223202,0.6868982724486752,0.1050108932461873
mlp_5_exclude_seen_f512_lr0p005_hd256-128-64_reg0p1_ep200_bs4096.csv,mlp,exclude_seen,f512_lr0.005_hd256-128-64_reg0.1_ep200_bs4096,512,0.005,"(256, 128, 64)",0.1,200,4096,0.0784313725490196,0.0091693380931908,0.0806135887551303,0.9076192654509666,0.6529142320453898,0.1233115468409586
mlp_5_exclude_seen_f256_lr0p005_hd512-256_reg0p01_ep200_bs4096.csv,mlp,exclude_seen,f256_lr0.005_hd512-256_reg0.01_ep200_bs4096,256,0.005,"(512, 256)",0.01,200,4096,0.077995642701525,0.0071083588071383,0.0800575642273037,0.9067311713185332,0.6390427350427352,0.1416122004357298
