filename,recommender,strategy,config,n_factors,learning_rate,regularization,epochs,batch_size,precision,recall,ndcg,epc,gini,aggregate_diversity
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep250_bs512.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep250_bs512,1024,0.005,0.15,250,512,0.08965517241379312,0.12099847789502963,0.11512245855826926,0.9527816763711651,0.2606714103265828,0.7241379310344828
mf_5_no_filtering_f1024_lr0p005_reg0p1_ep100_bs1024.csv,mf,no_filtering,f1024_lr0.005_reg0.1_ep100_bs1024,1024,0.005,0.1,100,1024,0.07011494252873562,0.1051540254126461,0.09765686151349227,0.9617052567433669,0.23523369286081142,0.7459770114942529
mf_5_no_filtering_f1024_lr0p005_reg0p1_ep100_bs2048.csv,mf,no_filtering,f1024_lr0.005_reg0.1_ep100_bs2048,1024,0.005,0.1,100,2048,0.09195402298850575,0.13082343901309418,0.12310228556068459,0.9491112406643684,0.30776407996347244,0.6655172413793103
mf_5_no_filtering_f1024_lr0p005_reg0p1_ep100_bs512.csv,mf,no_filtering,f1024_lr0.005_reg0.1_ep100_bs512,1024,0.005,0.1,100,512,0.09310344827586206,0.13803436346539796,0.1325123576027891,0.9567759952209244,0.25616179252146076,0.7264367816091954
mf_5_no_filtering_f1024_lr0p005_reg0p1_ep150_bs1024.csv,mf,no_filtering,f1024_lr0.005_reg0.1_ep150_bs1024,1024,0.005,0.1,150,1024,0.09195402298850575,0.13086817397162223,0.12010826189482325,0.9663358260339672,0.21921231576404,0.7655172413793103
mf_5_no_filtering_f1024_lr0p005_reg0p1_ep150_bs2048.csv,mf,no_filtering,f1024_lr0.005_reg0.1_ep150_bs2048,1024,0.005,0.1,150,2048,0.07931034482758621,0.11417378917378918,0.10786179727232609,0.9560224271082993,0.28626071579594803,0.6873563218390805
mf_5_no_filtering_f1024_lr0p005_reg0p1_ep150_bs512.csv,mf,no_filtering,f1024_lr0.005_reg0.1_ep150_bs512,1024,0.005,0.1,150,512,0.10344827586206896,0.1489684963822895,0.1397296877046597,0.9596955018629277,0.24621371061739028,0.7367816091954023
mf_5_no_filtering_f1024_lr0p005_reg0p1_ep200_bs1024.csv,mf,no_filtering,f1024_lr0.005_reg0.1_ep200_bs1024,1024,0.005,0.1,200,1024,0.10919540229885058,0.14845957044232905,0.1441884360185236,0.9640698436004289,0.22358926277042745,0.7609195402298851
mf_5_no_filtering_f1024_lr0p005_reg0p1_ep200_bs2048.csv,mf,no_filtering,f1024_lr0.005_reg0.1_ep200_bs2048,1024,0.005,0.1,200,2048,0.08045977011494253,0.11609300661024799,0.11054443156805734,0.9605743047908315,0.25226879428748394,0.725287356321839
mf_5_no_filtering_f1024_lr0p005_reg0p1_ep200_bs512.csv,mf,no_filtering,f1024_lr0.005_reg0.1_ep200_bs512,1024,0.005,0.1,200,512,0.09195402298850575,0.13119973895835962,0.12986122345174242,0.9629588044633496,0.2257784743991642,0.7586206896551724
